"Libellé";"Emploi salarié en fin de trimestre - Cokéfaction et raffinage ; industries extractives, énergie, eau, gestion des déchets et dépollution (A17-C2DE) - France hors Mayotte";"Codes"
"idBank";"010001824";""
"Période";"";""
"2001-T4";"378353";"A"
"2002-T1";"378264";"A"
"2002-T2";"378766";"A"
"2002-T3";"379695";"A"
"2002-T4";"379517";"A"
"2003-T1";"377078";"A"
"2003-T2";"377595";"A"
"2003-T3";"377108";"A"
"2003-T4";"377449";"A"
"2004-T1";"377840";"A"
"2004-T2";"378353";"A"
"2004-T3";"379386";"A"
"2004-T4";"380487";"A"
"2005-T1";"380255";"A"
"2005-T2";"379380";"A"
"2005-T3";"378634";"A"
"2005-T4";"377672";"A"
"2006-T1";"378099";"A"
"2006-T2";"378149";"A"
"2006-T3";"378243";"A"
"2006-T4";"378190";"A"
"2007-T1";"380603";"A"
"2007-T2";"380442";"A"
"2007-T3";"380107";"A"
"2007-T4";"379999";"A"
"2008-T1";"380592";"A"
"2008-T2";"380924";"A"
"2008-T3";"380168";"A"
"2008-T4";"380045";"A"
"2009-T1";"379135";"A"
"2009-T2";"379191";"A"
"2009-T3";"381169";"A"
"2009-T4";"382293";"A"
"2010-T1";"380392";"A"
"2010-T2";"381817";"A"
"2010-T3";"380936";"A"
"2010-T4";"380990";"A"
"2011-T1";"381178";"A"
"2011-T2";"380491";"A"
"2011-T3";"379970";"A"
"2011-T4";"381216";"A"
"2012-T1";"382506";"A"
"2012-T2";"384260";"A"
"2012-T3";"385572";"A"
"2012-T4";"386441";"A"
"2013-T1";"387184";"A"
"2013-T2";"387137";"A"
"2013-T3";"386686";"A"
"2013-T4";"386469";"A"
"2014-T1";"386747";"A"
"2014-T2";"386333";"A"
"2014-T3";"386006";"A"
"2014-T4";"387874";"A"
"2015-T1";"387236";"A"
"2015-T2";"387047";"A"
"2015-T3";"387198";"A"
"2015-T4";"386869";"A"
"2016-T1";"386351";"A"
"2016-T2";"386124";"A"
"2016-T3";"385622";"A"
"2016-T4";"383857";"A"
"2017-T1";"381223";"A"
"2017-T2";"382121";"A"
"2017-T3";"382642";"A"
"2017-T4";"383106";"A"
"2018-T1";"383695";"P"
"2018-T2";"383845";"P"
"2018-T3";"384668";"P"
"2018-T4";"386251";"P"
"2019-T1";"387986";"P"
"2019-T2";"388216";"P"
"2019-T3";"388534";"P"
"2019-T4";"389105";"P"
