"Libellé";"Emploi salarié en fin de trimestre - Hébergement et restauration (A17-IZ) - Nouvelle-Aquitaine";"Codes"
"idBank";"001738951";""
"Période";"";""
"2001-T4";"63404";"A"
"2002-T1";"63598";"A"
"2002-T2";"62976";"A"
"2002-T3";"63343";"A"
"2002-T4";"63675";"A"
"2003-T1";"63287";"A"
"2003-T2";"63884";"A"
"2003-T3";"63259";"A"
"2003-T4";"63102";"A"
"2004-T1";"63384";"A"
"2004-T2";"63756";"A"
"2004-T3";"63755";"A"
"2004-T4";"64420";"A"
"2005-T1";"65143";"A"
"2005-T2";"65159";"A"
"2005-T3";"65604";"A"
"2005-T4";"66175";"A"
"2006-T1";"66255";"A"
"2006-T2";"66612";"A"
"2006-T3";"68018";"A"
"2006-T4";"68653";"A"
"2007-T1";"69404";"A"
"2007-T2";"69214";"A"
"2007-T3";"70344";"A"
"2007-T4";"70404";"A"
"2008-T1";"71806";"A"
"2008-T2";"70665";"A"
"2008-T3";"70111";"A"
"2008-T4";"71238";"A"
"2009-T1";"70247";"A"
"2009-T2";"70159";"A"
"2009-T3";"70703";"A"
"2009-T4";"72022";"A"
"2010-T1";"73314";"A"
"2010-T2";"74257";"A"
"2010-T3";"74016";"A"
"2010-T4";"74087";"A"
"2011-T1";"74834";"A"
"2011-T2";"76698";"A"
"2011-T3";"76436";"A"
"2011-T4";"76137";"A"
"2012-T1";"77183";"A"
"2012-T2";"77149";"A"
"2012-T3";"76580";"A"
"2012-T4";"76488";"A"
"2013-T1";"76939";"A"
"2013-T2";"75401";"A"
"2013-T3";"75964";"A"
"2013-T4";"76198";"A"
"2014-T1";"76116";"A"
"2014-T2";"77227";"A"
"2014-T3";"76905";"A"
"2014-T4";"77248";"A"
"2015-T1";"76959";"A"
"2015-T2";"77813";"A"
"2015-T3";"78309";"A"
"2015-T4";"78823";"A"
"2016-T1";"80067";"A"
"2016-T2";"80421";"A"
"2016-T3";"81247";"A"
"2016-T4";"81294";"A"
"2017-T1";"82791";"A"
"2017-T2";"84338";"A"
"2017-T3";"85382";"A"
"2017-T4";"86282";"A"
"2018-T1";"88264";"P"
"2018-T2";"88735";"P"
"2018-T3";"87104";"P"
"2018-T4";"87336";"P"
"2019-T1";"88820";"P"
"2019-T2";"89957";"P"
"2019-T3";"89896";"P"
"2019-T4";"91288";"P"
