"Libellé";"Emploi salarié en fin de trimestre - Industries manufacturières, industries extractives et autres (A5-BE) - France hors Mayotte";"Codes"
"idBank";"010001822";""
"Période";"";""
"2001-T4";"4101068";"A"
"2002-T1";"4079792";"A"
"2002-T2";"4056052";"A"
"2002-T3";"4041357";"A"
"2002-T4";"4017558";"A"
"2003-T1";"3995879";"A"
"2003-T2";"3973475";"A"
"2003-T3";"3947889";"A"
"2003-T4";"3920259";"A"
"2004-T1";"3895341";"A"
"2004-T2";"3869693";"A"
"2004-T3";"3846041";"A"
"2004-T4";"3828670";"A"
"2005-T1";"3801175";"A"
"2005-T2";"3780927";"A"
"2005-T3";"3758766";"A"
"2005-T4";"3740568";"A"
"2006-T1";"3726452";"A"
"2006-T2";"3714962";"A"
"2006-T3";"3701131";"A"
"2006-T4";"3682198";"A"
"2007-T1";"3674232";"A"
"2007-T2";"3664990";"A"
"2007-T3";"3649638";"A"
"2007-T4";"3638670";"A"
"2008-T1";"3624060";"A"
"2008-T2";"3603875";"A"
"2008-T3";"3591204";"A"
"2008-T4";"3562738";"A"
"2009-T1";"3515595";"A"
"2009-T2";"3468697";"A"
"2009-T3";"3427061";"A"
"2009-T4";"3395461";"A"
"2010-T1";"3361488";"A"
"2010-T2";"3341651";"A"
"2010-T3";"3322631";"A"
"2010-T4";"3311024";"A"
"2011-T1";"3310134";"A"
"2011-T2";"3306034";"A"
"2011-T3";"3300558";"A"
"2011-T4";"3294194";"A"
"2012-T1";"3288796";"A"
"2012-T2";"3284221";"A"
"2012-T3";"3281693";"A"
"2012-T4";"3274120";"A"
"2013-T1";"3265497";"A"
"2013-T2";"3249499";"A"
"2013-T3";"3241422";"A"
"2013-T4";"3236178";"A"
"2014-T1";"3231469";"A"
"2014-T2";"3221661";"A"
"2014-T3";"3210697";"A"
"2014-T4";"3202368";"A"
"2015-T1";"3193431";"A"
"2015-T2";"3184955";"A"
"2015-T3";"3175244";"A"
"2015-T4";"3167489";"A"
"2016-T1";"3160125";"A"
"2016-T2";"3150677";"A"
"2016-T3";"3147346";"A"
"2016-T4";"3139814";"A"
"2017-T1";"3135147";"A"
"2017-T2";"3135307";"A"
"2017-T3";"3138259";"A"
"2017-T4";"3143979";"A"
"2018-T1";"3146734";"P"
"2018-T2";"3148247";"P"
"2018-T3";"3149680";"P"
"2018-T4";"3156321";"P"
"2019-T1";"3164068";"P"
"2019-T2";"3165617";"P"
"2019-T3";"3167225";"P"
"2019-T4";"3166980";"P"
